"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6","Outlier7","Outlier8","Outlier9","Outlier10","Outlier11","Outlier12","Outlier13","Outlier14","Outlier15","Outlier16","Outlier17","Outlier18","Outlier19","Outlier20","Outlier21","Outlier22","Outlier23","Outlier24","Outlier25","Outlier26"
"Wild","Heterogeneous.Selection","0.0134441202","0.0133286594","0.0052823765","2.503598e-03","0.0095495327","0.012694907","0.0164831058","0.037883262","2.503598e-03","0.0095495327","0.012694907","0.0164831058","0.026562962","0.030663527","0.029370171","0.028177352","0.037883262","0.027237174","0.030660559","0.027548989","0.030860790","0.030390616","0.030584846","0.029016343","0.028043234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wild","Homogeneous.Selection","0.0925085598","0.0927314429","0.0124116518","6.035131e-02","0.0839500024","0.092261944","0.1004740651","0.144594753","6.035131e-02","0.0839500024","0.092261944","0.1004740651","0.125045530","0.134470169","0.125637966","0.139274292","0.126293137","0.128871668","0.126555152","0.144594753","0.126050366","0.129566233","0.125757978","0.130328603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wild","Dispersal.Limitation","0.3870948520","0.3891560308","0.0292525695","2.831307e-01","0.3696437102","0.388537578","0.4089382126","0.465219513","3.124086e-01","0.3696437102","0.388537578","0.4089382126","0.465219513","0.283130659","0.310515463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wild","Homogenizing.Dispersal","0.0006612861","0.0006389076","0.0003876472","6.612207e-05","0.0003524867","0.000560447","0.0008614306","0.002234046","6.612207e-05","0.0003524867","0.000560447","0.0008614306","0.001593979","0.001734065","0.001765069","0.002234046","0.001733049","0.001672132","0.001713012","0.001971092","0.002019412","0.001651834","0.001929345","0.001799914","0.001852946","0.002051279","0.001649366","0.001927038","0.001721575","0.001962241","0.002224244","0.001771807","0.001765289","0.00186365","0.001783021",NA,NA,NA,NA
"Wild","Drift.and.Others","0.5062911819","0.5041449594","0.0311754959","4.136409e-01","0.4832658579","0.504958378","0.5249378563","0.609187411","4.209661e-01","0.4832658579","0.504958378","0.5249378563","0.587040919","0.593676397","0.420056981","0.589586906","0.609187411","0.413640866","0.414501725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wild","Stochasticity","0.8940473200","0.8939398978","0.0140452241","8.453566e-01","0.8852378160","0.894069149","0.9034930353","0.936045912","8.583229e-01","0.8852378160","0.894069149","0.9034930353","0.929392878","0.851867248","0.853817425","0.936045912","0.855992695","0.856072029","0.845356605","0.851549933","0.855648774","0.855551390","0.853678191","0.855374207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Domesticated","Heterogeneous.Selection","0.009704470","0.009542402","0.003762350","1.910538e-03","0.0067661174","0.009081896","0.011957903","0.02341122","1.910538e-03","0.0067661174","0.009081896","0.011957903","0.019638420","0.02341122","0.02129899","0.01983677","0.02032121","0.02113014","0.019777657","0.021870661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Domesticated","Homogeneous.Selection","0.108827945","0.108599886","0.017165959","5.842139e-02","0.0967949616","0.107559263","0.119182754","0.16537745","6.355703e-02","0.0967949616","0.107559263","0.119182754","0.152618756","0.15528828","0.15753692","0.15613665","0.16203089","0.15384700","0.157529555","0.164737365","0.058421390","0.165377453","0.16528209","0.15464212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Domesticated","Dispersal.Limitation","0.412798297","0.414348806","0.036259146","3.180362e-01","0.3901842566","0.414539566","0.439448000","0.53664488","3.180362e-01","0.3901842566","0.414539566","0.439448000","0.506752440","0.51419090","0.51522979","0.53664488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Domesticated","Homogenizing.Dispersal","0.002915703","0.002830259","0.002523013","6.325767e-05","0.0006280865","0.002391519","0.004080992","0.01401525","6.325767e-05","0.0006280865","0.002391519","0.004080992","0.009236027","0.01019332","0.01222266","0.01188040","0.00982542","0.01061581","0.009359644","0.009739478","0.009676817","0.009552412","0.01021951","0.01211911","0.009379037","0.009578625","0.01067744","0.009720549","0.01096565","0.01025671","0.01214085","0.009608264","0.01401525","0.01349491","0.01271578","0.009681157","0.0125466","0.01062488","0.01002955"
